Index,RAP_ID,Transcript_ID,Description,Position,Gene_Symbol,Gene_Name,GO
14,Os10g0456800,Os10t0456800-01 ; Os10t0456800-02,"CHY zinc finger protein, Transcriptional co-activator of DST (Drought and Salt Tolerance: zinc finger transcription factor gene), Drought and salt tolerance, Stomatal aperture control (Os10t0456800-01) Similar to CHY zinc finger family protein, expressed. (Os10t0456800-02)",chr10:16704970..16708495 (- strand),DCA1,DST CO-ACTIVATOR 1,Molecular Function: zinc ion binding (GO:0008270)
15,Os10g0518200,Os10t0518200-01,"Cytochrome b5 protein, Regulation of high-affinity K+ transport in response to salt stress, Salt tolerance (Os10t0518200-01)",chr10:20028820..20031250 (- strand),CYB5-2,CYTOCHROME B5-2,Molecular Function: heme binding (GO:0020037)
16,Os12g0641100,Os12t0641100-01 ; Os12t0641100-02 ; Os12t0641100-03 ; Os12t0641100-04,"Similar to Na+/H+ antiporter. (Os12t0641100-01) Similar to Na+/H+ antiporter. (Os12t0641100-02) Plasma membrane Na+/H+ antiporter, Salt stress (Os12t0641100-03) Plasma membrane Na+/H+ antiporter, Salt tolerance (Os12t0641100-04)",chr12:27495775..27508468 (- strand),SOS1,SALT OVERLY SENSITIVE 1,Biological Process: monoatomic cation transport (GO:0006812) proton transmembrane transport (GO:1902600) transmembrane transport (GO:0055085)Molecular Function: antiporter activity (GO:0015297)Cellular Component: membrane (GO:0016020)
17,Os01g0102800,Os01t0102800-01,"Chromatin remodeling factor 704, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os01t0102800-01)",chr01:151409..156449 (+ strand),CSB,COCKAYNE SYNDROME WD-REPEAT PROTEIN,Molecular Function: ATP binding (GO:0005524)
18,Os01g0104100,Os01t0104100-01 ; Os01t0104100-02,"Chaperone protein to regulate catalase (CAT) activity, Cold inducible zinc finger protein, Tolerance to cold, salt and drought (Os01t0104100-01) Similar to protein binding / zinc ion binding. (Os01t0104100-02)",chr01:209771..214173 (+ strand),NCA1A,NO CATALASE ACTIVITY 1A,Molecular Function: protein binding (GO:0005515)
19,Os01g0124401,Os01t0124401-01,"Bowman-Birk inhibitor, Defense response, Regulation of salt tolerance (Os01t0124401-01)",chr01:1353705..1354767 (- strand),RBBI3-3,BOWMAN-BIRK INHIBITOR 3-3,Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)Cellular Component: extracellular region (GO:0005576)
20,Os01g0141000,Os01t0141000-01,"AP2/ERF and B3 domain-containing protein, RAV family protein, Salt stress response, Repression of photoperiodic flowering (Os01t0141000-01)",chr01:2202278..2203787 (+ strand),AP2/EREBP129,APETALA2/ETHYLENE-RESPONSIVE ELEMENT BINDING PROTEIN 129,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
21,Os01g0141100,Os01t0141100-01 ; Os01t0141100-02,Similar to Salt-induced AAA-Type ATPase. (Os01t0141100-01) Similar to Vacuolar sorting protein 4b. (Os01t0141100-02),chr01:2215662..2222812 (- strand),,,Molecular Function: ATP binding (GO:0005524) ATP hydrolysis activity (GO:0016887)
22,Os01g0155600,Os01t0155600-01 ; Os01t0155600-02,"RS2Z subfamily protein, Serine/arginine (SR)-rich protein, Response to salt and heat stress (Os01t0155600-01) Similar to Splicing factor RSZ33. (Os01t0155600-02)",chr01:2986329..2989280 (- strand),RSZP37A,,Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723) zinc ion binding (GO:0008270)
23,Os01g0159800,Os01t0159800-01 ; Os01t0159800-02,"Similar to DNA binding protein. (Os01t0159800-01) Basic helix-loop-helix (bHLH) transcription factor, Mediation of seed germination, Seedling recovery from salt stress (Os01t0159800-02)",chr01:3129056..3130722 (+ strand),,,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA-binding transcription factor activity (GO:0003700) protein dimerization activity (GO:0046983)
24,Os01g0165000,Os01t0165000-01 ; Os01t0165000-02,"Transcription factor, Dehydration and salt stress tolerance (Os01t0165000-01) DRE binding protein 2. (Os01t0165000-02)",chr01:3356383..3361204 (+ strand),DREB2A,DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
25,Os01g0182200,Os01t0182200-01 ; Os01t0182200-02,"Similar to cDNA clone:001-208-D07, full insert sequence. (Os01t0182200-01) Small and basic intrinsic protein 1, SIP-like aquaporin, Response to hydrogen peroxide and salt treatments, Response to pathogen (Os01t0182200-02)",chr01:4313678..4315834 (- strand),SIP1;1,SMALL AND BASIC INTRINSIC PROTEIN 1;1,Biological Process: transmembrane transport (GO:0055085)Molecular Function: channel activity (GO:0015267) water channel activity (GO:0015250)Cellular Component: membrane (GO:0016020)
26,Os01g0183400,Os01t0183400-01,"Transcription factor subunit, Salt tolerance (Os01t0183400-01)",chr01:4415416..4416182 (+ strand),NFYC13,NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-13,Molecular Function: protein heterodimerization activity (GO:0046982)
27,Os01g0184100,Os01t0184100-01,"Class II small heat shock protein, Positive regulation in both Xoo resistance and heat/salt tolerance (Os01t0184100-01)",chr01:4449070..4449876 (- strand),HSP18.0-CII,18.0 KDA CLASS II HEAT SHOCK PROTEIN,
28,Os01g0190500,Os01t0190500-01,"IQ domain-containing protein, Homolog of GW5, Negative regulation of grain size and salt stress tolerance (Os01t0190500-01)",chr01:4826590..4828733 (+ strand),GW5L,GRAIN WIDTH 5-LIKE,Molecular Function: protein binding (GO:0005515)
29,Os01g0223100,Os01t0223100-01,"Histone deacetylase 707, RPD/HDA1 gene family, Salt stress response, Response to auxin treatment (Os01t0223100-01)",chr01:6722205..6722600 (+ strand),HDA707,HISTONE DEACETYLASE 707,Molecular Function: histone deacetylase activity (GO:0004407)
30,Os01g0307500,Os01t0307500-01,"Na+ transporter, A member of HKT (high-affinity K+ transporter)-type transporters, Regulation of K+/Na+ homeostasis, Salt tolerance (Os01t0307500-01)",chr01:11458956..11463442 (- strand),SKC1,SHOOT K+ CONCENTRATION 1,Biological Process: monoatomic cation transport (GO:0006812) transmembrane transport (GO:0055085)Molecular Function: monoatomic cation transmembrane transporter activity (GO:0008324)
31,Os01g0355250,Os01t0355250-00,Similar to Salt stress-induced protein. (Os01t0355250-00),chr01:14280966..14282033 (+ strand),JRL3,JACALIN-RELATED LECTIN 3,Molecular Function: carbohydrate binding (GO:0030246)
32,Os01g0369000,Os01t0369000-01 ; Os01t0369000-02,"Component of cullin-RING E3 ubiquitin ligase (CRL) complex, Salt/drought stress response (Os01t0369000-01) Similar to Cullin-1. (Os01t0369000-02)",chr01:15130898..15139459 (- strand),,,Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511)Molecular Function: ubiquitin protein ligase binding (GO:0031625)Cellular Component: cullin-RING ubiquitin ligase complex (GO:0031461)
33,Os01g0369200,Os01t0369200-01,"Component of cullin-RING E3 ubiquitin ligase (CRL) complex, Salt/drought stress response, Cold stress response (Os01t0369200-01)",chr01:15146089..15152275 (+ strand),CUL1-3,CULLIN 1-3,Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511)Molecular Function: ubiquitin protein ligase binding (GO:0031625)
34,Os01g0369300,Os01t0369300-01,"Potassium transporter, Salt tolerance (Os01t0369300-01)",chr01:15152302..15157185 (- strand),HAK3,HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 3,Biological Process: potassium ion transmembrane transport (GO:0071805)Molecular Function: potassium ion transmembrane transporter activity (GO:0015079)Cellular Component: membrane (GO:0016020)
35,Os01g0506100,Os01t0506100-01 ; Os01t0506100-02,"Pentatricopeptide repeat domain containing protein. (Os01t0506100-01) Pentatricopeptide repeat (PPR) protein, Regulation of salt tolerance (Os01t0506100-02)",chr01:17605172..17607509 (+ strand),SOAR1,SUPPRESSOR OF THE ABAR-OVEREXPRESSOR 1,Molecular Function: protein binding (GO:0005515)
36,Os01g0536000,Os01t0536000-01,Similar to CBL-interacting serine/threonine-protein kinase 24 (EC 2.7.1.37) (SNF1-related kinase 3.11) (SALT OVERLY SENSITIVE 2 protein). (Os01t0536000-01),chr01:19469262..19477590 (- strand),CIPK08,CALCINEURIN B-LIKE PROTEIN-INTERACTING PROTEIN KINASE 8,Biological Process: protein phosphorylation (GO:0006468) signal transduction (GO:0007165)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
37,Os01g0549700,Os01t0549700-01 ; Os01t0549700-02 ; Os01t0549700-03,"Member of the DExD/H-box family of helicases, DEAD-box ATP-dependent RNA helicase, RNA and DNA metabolism, Response to abiotic stress including salt stress and abscisic acid, Regulation of programmed cell death (PCD) during tapetum degeneration (Os01t0549700-01) Similar to cDNA clone:J033114G10, full insert sequence. (Os01t0549700-02) Similar to predicted protein. (Os01t0549700-03)",chr01:20540847..20547073 (+ strand),AIP1,API5-INTERACTING PROTEIN 1,Molecular Function: ATP binding (GO:0005524) nucleic acid binding (GO:0003676) RNA helicase activity (GO:0003724)
38,Os01g0571300,Os01t0571300-01,"Heat shock transcription factor, Salt and drought tolerance (Os01t0571300-01)",chr01:21938865..21941797 (+ strand),HSFA7,HEAT STRESS TRANSCRIPTION FACTOR A7,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA-binding transcription factor activity (GO:0003700) sequence-specific DNA binding (GO:0043565)
39,Os01g0575200,Os01t0575200-01,"Basic helix-loop-helix (bHLH) transcription factor, Negative regulation of salt stress (Os01t0575200-01)",chr01:22138044..22142395 (+ strand),,,Molecular Function: protein dimerization activity (GO:0046983)
40,Os01g0612600,Os01t0612600-01,"DUF1644 family protein, Salt tolerance (Os01t0612600-01)",chr01:24282911..24285306 (- strand),SIDP361,STRESS INDUCED DUF1644 PROTEIN 361,
41,Os01g0615100,Os01t0615100-01,"Chymotrypsin protease inhibitor, Salt and osmotic stress tolerance (Os01t0615100-01)",chr01:24392841..24393423 (+ strand),OCPI2,O. SATIVA CHYMOTRYPSIN PROTEASE INHIBITOR 2,Biological Process: response to wounding (GO:0009611)Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)
42,Os01g0622600,Os01t0622600-01,"Calcium-dependent protein kinase, Positive regulation of salt and drought tolerance, Negative regulation of seedling growth and seed development, Regulation of pathogenesis-related genes involved in disease resistance (Os01t0622600-01)",chr01:24839124..24843459 (+ strand),CDPK1,CALCIUM-DEPENDENT PROTEIN KINASE 1,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) calcium ion binding (GO:0005509) protein kinase activity (GO:0004672)
43,Os01g0624500,Os01t0624500-01,"A subunit of the SCF ubiquitin ligase complex, Molecular chaperone, Regulation of responses to salt stress and bacterial blight (Os01t0624500-01)",chr01:24937665..24942799 (+ strand),SGT1,SUPPRESSOR OF THE G2 ALLELE OF SKP1,Molecular Function: protein binding (GO:0005515) protein-folding chaperone binding (GO:0051087)
44,Os01g0644200,Os01t0644200-01,"Stress associated little protein 1, Small and plant-specific membrane protein, Salt tolerance (Os01t0644200-01)",chr01:25931149..25931730 (- strand),SALP1,STRESS ASSOCIATED LITTLE PROTEIN 1,
45,Os01g0648000,Os01t0648000-01,"Potassium channel, Potassium uptake, Salt stress tolerance (Os01t0648000-01)",chr01:26119741..26126165 (- strand),AKT1,,Biological Process: monoatomic ion transport (GO:0006811) potassium ion transport (GO:0006813) transmembrane transport (GO:0055085)Molecular Function: monoatomic ion channel activity (GO:0005216) protein binding (GO:0005515) voltage-gated potassium channel activity (GO:0005249)Cellular Component: membrane (GO:0016020)
46,Os01g0654400,Os01t0654400-01,Similar to Salt tolerant correlative protein. (Os01t0654400-01),chr01:26532021..26532497 (- strand),,,
47,Os01g0658900,Os01t0658900-01,"bZIP class abscisic acid responsive element (ABRE)-binding factor, Salt tolerance (Os01t0658900-01)",chr01:26800095..26805467 (- strand),OSBZ8,BZIP PROTEIN 8,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA-binding transcription factor activity (GO:0003700) sequence-specific DNA binding (GO:0043565)
48,Os01g0692700,Os01t0692700-01 ; Os01t0692700-02,"Similar to Protein binding protein. (Os01t0692700-01) RING-type E3 ligase, Response to salt stress (Os01t0692700-02)",chr01:28583147..28587185 (- strand),,,Molecular Function: ubiquitin protein ligase activity (GO:0061630)
49,Os01g0693400,Os01t0693400-01,"AP2/ERF transcription factor, RAV transcription factor, Regulation of carpel development, Control of seed size, Positive regulation of seed germination and vigor, Salt tolerance during seed germination, Positive regulation of arsenic tolerance (Os01t0693400-01)",chr01:28619585..28621117 (- strand),AP2/EREBP127,APETALA2/ETHYLENE-RESPONSIVE ELEMENT BINDING PROTEIN 127,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
50,Os01g0699100,Os01t0699100-01,"MAP kinase kinase kinase, Salt stress response, Seed dormancy control (Os01t0699100-01)",chr01:28921498..28923085 (+ strand),MAPKKK63,MAP KINASE KINASE KINASE 63,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
51,Os01g0720700,Os01t0720700-01,"Serine acetyltransferase 1, Hub protein regulated by cross-talk of JA, ABA and auxin hormones, Salt stress response (Os01t0720700-01)",chr01:30042527..30043938 (+ strand),SAT1;1,SERINE ACETYLTRANSFERASE 1;1,Biological Process: cysteine biosynthetic process from serine (GO:0006535)Molecular Function: serine O-acetyltransferase activity (GO:0009001) transferase activity (GO:0016740)Cellular Component: cytoplasm (GO:0005737)
52,Os01g0723400,Os01t0723400-01 ; Os01t0723400-02 ; Os01t0723400-03 ; Os01t0723400-04 ; Os01t0723400-05,"NADP-malic enzyme, Splicing variant (Os01t0723400-01) Similar to Malic enzyme. (Os01t0723400-02) NADP-malic enzyme, Salt and osmotic stress tolerance, Disease resistance (Os01t0723400-03) NADP-malic enzyme, Splicing variant (Os01t0723400-04) NADP-malic enzyme, Splicing variant (Os01t0723400-05)",chr01:30166017..30171659 (+ strand),NADP-ME2,NADP-MALIC ENZYME 2,"Molecular Function: malic enzyme activity (GO:0004470) NAD binding (GO:0051287) oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)"
53,Os01g0733200,Os01t0733200-01,"Heat shock factor, Transcription factor, ABA-mediated salt stress tolerance, Response to osmotic stress (Os01t0733200-01)",chr01:30582485..30583694 (+ strand),HSFC1B,HEAT STRESS TRANSCRIPTION FACTOR C1b,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA-binding transcription factor activity (GO:0003700) sequence-specific DNA binding (GO:0043565)
54,Os01g0734600,Os01t0734600-01,"Uridine diphosphate (UDP) glycosyltransferase 1, Positive regulation of salt tolerance and grain size, Arbutin biosynthesis (Os01t0734600-01)",chr01:30647512..30649342 (+ strand),UGT706E1,UDP-DEPENDENT GLYCOSYLTRANSFERASE 706E1,Molecular Function: UDP-glucosyltransferase activity (GO:0035251) UDP-glycosyltransferase activity (GO:0008194)
55,Os01g0752500,Os01t0752500-01,"APETELA2/ethylene response factor (AP2/ERF) type transcription factor, Negative regulation of disease resistance, Negative regulation of salt tolerance (Os01t0752500-01)",chr01:31567786..31568709 (+ strand),ERF92,ETHYLENE RESPONSE FACTOR 92,Biological Process: ethylene-activated signaling pathway (GO:0009873) regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
56,Os01g0779400,Os01t0779400-01 ; Os01t0779400-02,"Zinc finger, RING/FYVE/PHD-type domain containing protein. (Os01t0779400-01) Snf2 family chromatin remodeling ATPase, Chromatin remodeling factor 706, Negative regulation of alkaline tolerance, Salt and drought stress response, Response to M. oryzae infection (Os01t0779400-02)",chr01:33000078..33010221 (- strand),ALT1,ALKALINE TOLERANCE 1,Molecular Function: ATP binding (GO:0005524)
57,Os01g0804200,Os01t0804200-01,"Cytochrome P450 of the CYP94 subfamily, Response to wounding and salt stress (Os01t0804200-01)",chr01:34099444..34101175 (+ strand),CYP94D9,CYTOCHROME P450 94D9,"Molecular Function: heme binding (GO:0020037) iron ion binding (GO:0005506) monooxygenase activity (GO:0004497) oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)"
58,Os01g0804400,Os01t0804400-01,"Cytochrome P450 94D7, Cytochrome P450 of the CYP94 subfamily, Salt stress response (Os01t0804400-01)",chr01:34115002..34116757 (+ strand),CYP94D7,CYTOCHROME P450 94D7,"Molecular Function: heme binding (GO:0020037) iron ion binding (GO:0005506) monooxygenase activity (GO:0004497) oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)"
59,Os01g0811300,Os01t0811300-01,"DNA methylation reader, Response to salt stress (Os01t0811300-01)",chr01:34480570..34484981 (+ strand),SUVH7,SUVH HISTONE METHYLTRANSFERASE 7,Molecular Function: histone methyltransferase activity (GO:0042054) protein binding (GO:0005515) zinc ion binding (GO:0008270)Cellular Component: nucleus (GO:0005634)
60,Os01g0829800,Os01t0829800-01 ; Os01t0829800-02,"Malate dehydrogenase, Salt stress tolerance (Os01t0829800-01) Similar to Malate dehydrogenase precursor (EC 1.1.1.37). (Os01t0829800-02)",chr01:35499019..35501745 (+ strand),MDH1,MALATE DEHYDROGENASE 1,"Biological Process: carboxylic acid metabolic process (GO:0019752) malate metabolic process (GO:0006108) tricarboxylic acid cycle (GO:0006099)Molecular Function: catalytic activity (GO:0003824) L-malate dehydrogenase (NAD+) activity (GO:0030060) malate dehydrogenase activity (GO:0016615) oxidoreductase activity (GO:0016491) oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)"
61,Os01g0839100,Os01t0839100-01,"Cys2/His2-type zinc finger protein, Salt tolerance (Os01t0839100-01)",chr01:36001242..36002101 (+ strand),"ZFP179, ZOS1-15","ZINC FINGER PROTEIN 179, ZINC-FINGER PROTEIN TFIIIA CLASS OF ORYZA SATIVA 1-15",
62,Os01g0842200,Os01t0842200-01 ; Os01t0842200-02,"GRAS transcription factor, Regulation of salt stress tolerance and yield (Os01t0842200-01) Similar to SCARECROW-like protein. (Os01t0842200-02)",chr01:36158308..36161507 (+ strand),"GRAS2, ZOS1-16","GRAS PROTEIN 2, ZINC-FINGER PROTEIN TFIIIA CLASS OF ORYZA SATIVA 1-16",
63,Os01g0848200,Os01t0848200-01 ; Os01t0848200-02,"Delta-1-pyrroline-5-carboxylate synthase 2, Salt and cold tolerance, Proline biosynthesis (Os01t0848200-01) Similar to Delta 1-pyrroline-5-carboxylate synthetase (P5CS) [Includes: Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK) Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]. (Os01t0848200-02)",chr01:36430978..36440843 (+ strand),ALDH18B2,ALDEHYDE DEHYDROGENASE 18B2,"Biological Process: proline biosynthetic process (GO:0006561)Molecular Function: ATP binding (GO:0005524) catalytic activity (GO:0003824) glutamate 5-kinase activity (GO:0004349) glutamate-5-semialdehyde dehydrogenase activity (GO:0004350) kinase activity (GO:0016301) oxidoreductase activity (GO:0016491) oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)Cellular Component: cytoplasm (GO:0005737)"
64,Os01g0864500,Os01t0864500-01,"Putative harpin-induced protein, Negative regulation of salt and drought tolerance (Os01t0864500-01)",chr01:37412047..37413011 (- strand),,,Biological Process: defense response to other organism (GO:0098542)Molecular Function: protein binding (GO:0005515)
65,Os01g0868000,Os01t0868000-01,"AP2/ERF transcription factor, Abiotic stress response, Salt stress response (Os01t0868000-01)",chr01:37590034..37592446 (- strand),ERF99,ETHYLENE RESPONSE FACTOR 99,Biological Process: ethylene-activated signaling pathway (GO:0009873) regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
66,Os01g0887700,Os01t0887700-01,"Alfin-like (AL) transcription factor 1, Response to cold, salt, submergence and drought stress (Os01t0887700-01)",chr01:38566148..38570861 (- strand),PHD1,PHD FINGER PROTEIN 1,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: histone binding (GO:0042393)
67,Os01g0893400,Os01t0893400-01 ; Os01t0893400-02,"Protein containing TAZ zinc finger and calmodulin-binding domain, Belong to Bric-a-Brac, Tramtrack, and Broad Complex (BTB) protein superfamily, Salt tolerance (Os01t0893400-01) Zinc finger, TAZ-type domain containing protein. (Os01t0893400-02)",chr01:38843729..38846523 (+ strand),BTBZ1,BTB-TYPE E3 UBIQUITIN LIGASE Z1,Molecular Function: protein binding (GO:0005515)
68,Os01g0897000,Os01t0897000-01,"B-type cyclin-dependent kinase 1;1, Negative regulation of salt stress tolerance (Os01t0897000-01)",chr01:38981299..38984176 (- strand),CDKB;1,CYCLIN-DEPENDENT KINASE B;1,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
69,Os01g0912700,Os01t0912700-01,"DUF2358 domain containing protein, Salt tolerance (Os01t0912700-01)",chr01:39777762..39779892 (+ strand),,,
70,Os01g0930400,Os01t0930400-01,"Potassium transporter, High-affinity K acquisition, Root-to-shoot K transport, K-regulated salt tolerance (Os01t0930400-01)",chr01:40825678..40830191 (+ strand),HAK5,HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 5,Biological Process: potassium ion transmembrane transport (GO:0071805)Molecular Function: potassium ion transmembrane transporter activity (GO:0015079)Cellular Component: membrane (GO:0016020)
71,Os01g0948400,Os01t0948400-01 ; Os01t0948400-02,"Similar to Pyrroline-5-carboxylate reductase (EC 1.5.1.2) (P5CR) (P5C reductase). (Os01t0948400-01) Pyrroline-5-carboxylate reductase, Proline biosynthesis, Response to osmotic and salt stress (Os01t0948400-02)",chr01:41718639..41721571 (- strand),P5CR,PYRROLINE-5-CARBOXYLATE REDUCTASE,Biological Process: proline biosynthetic process (GO:0006561)Molecular Function: pyrroline-5-carboxylate reductase activity (GO:0004735)
72,Os01g0952200,Os01t0952200-01 ; Os01t0952200-02,"Chromatin remodeling factor 708, Sucrose non-fermenting 2 (Snf2) family protein, Salt stress response, Response to M. oryzae infection (Os01t0952200-01) Similar to chromatin remodeling complex subunit. (Os01t0952200-02)",chr01:41919630..41925302 (+ strand),FBOX58,F-BOX PROTEIN 58,Molecular Function: ATP binding (GO:0005524) protein binding (GO:0005515) zinc ion binding (GO:0008270)
73,Os01g0955100,Os01t0955100-01,"Calmodulin-like protein, Drought and salt tolerance (Os01t0955100-01)",chr01:42074192..42074866 (- strand),CML31,CALMODULIN-LIKE PROTEIN 31,Molecular Function: calcium ion binding (GO:0005509)
